51,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,797,1204
52,Round 1,Govt. College of Engineering & Ceramic Technology Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,2766,3039
53,Round 1,Budge Budge Institute of Technology Budge-Budge,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,33786,44549
54,Round 1,Birbhum Institute of Engineering & Technology Suri Birbhum,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,40479,43716
55,Round 1,Camellia School of Engineering & Technology Barasat,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,54447,57083
56,Round 1,Camellia Institute of Technology Badu Road Madhyamgram,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,48169,55115
57,Round 1,Camellia Institute of Technology & Management Bainchi Hooghly,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,47277,56913
58,Round 1,Camellia Institute of Engineering and Technology Bud Bud Burdwan,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,45464,54038
59,Round 1,Calcutta Institute of Technology Uluberia Howrah,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,17598,20106
60,Round 1,Global Institute of Management and Technology Krishnanagar Nadia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,58036,62809
61,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,4219,5754
62,Round 1,Goverment College of Engineering and Leather Technology Kolkata,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,7497,10864
63,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,6865,7411
64,Round 1,Govt. College of Engineering & Textile Technology Serampore,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,11522,11933
65,Round 1,Camellia Institute of Technology Badu Road Madhyamgram,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,51314,51314
66,Round 1,Bengal Institute of Technology & Management Santiniketan,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,42254,61280
67,Round 1,Budge Budge Institute of Technology Budge-Budge,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,42583,62153
68,Round 1,Guru Nanak Institute of Technology Panihati Sodepur,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,32645,32645
69,Round 1,Jis College of Engineering Kalyani Nadia,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,33184,33184
70,Round 1,Jadavpur University,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,759,1207
71,Round 1,Narula Institute of Technology Agarpara Kolkata,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,26294,26294
72,Round 1,Maulana Abul Kalam Azad University of Technology West Bengal,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,8194,10437
73,Round 1,University of Kalyani Science Instrumentation Centre,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5659,7586
74,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,3193,3366
75,Round 1,Abacus Institute of Engineering & Management Mogra Hooghly,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,57381,57381
76,Round 1,Ghani Khan Choudhury Institute of Engineering & Technology Malda,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,11077,16654
77,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5581,6935
78,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,14489,18317
79,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,12678,14476
80,Round 1,Cooch Behar Government Engineering College Cooch Behar,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,15747,16010
81,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,7233,11892
82,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,2683,4416
83,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,3341,4747
84,Round 1,University Of Calcutta,Chemical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5506,5506
85,Round 1,Jadavpur University,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,170,734
86,Round 1,Calcutta Institute of Technology Uluberia Howrah,Chemical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,32737,61599
87,Round 1,University Of Calcutta,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,2197,2197
88,Round 1,Maulana Abul Kalam Azad University of Technology West Bengal,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5767,7935
89,Round 1,Institute of Science and Technology Paschim Medinipur,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,33693,33693
90,Round 1,Jld Engineering and Management College Baruipur,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,59436,59436
91,Round 1,Narula Institute of Technology Agarpara Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,17027,17027
92,Round 1,Jis College of Engineering Kalyani Nadia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,29147,29147
93,Round 1,Imps College of Engineering & Technology Malda,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,46764,46764
